id,name,city,state,postal_code,email
133,SOMERVILLE (NJ) 08844,HILLSBOROUG H,NJ,8844,rafal.brozyna@copart.com
134,TRENTON JOBSTOWN SUBLOT (NJ) 08041,JOBSTOWN,NJ,8041,jeri.priolo@copart.com
135,NEWBURGH/Marlbo ro 12542,MARLBORO,NY,12542,mike.cassata@copart.com
136,SYRACUSE (NY) 13036,CENTRAL SQUARE,NY,13036,nathan.caralla@copart.com
137,HARRISBURG 17028,GRANTVILLE,PA,17028,alex.ciambrone@copart.com
138,TANNER (AL) 35671,TANNER,AL,35671,zachary.atchley@copart.com
139,YORK HAVEN (PA) 17370,YORK HAVEN,PA,17370,jeffrey.micklitsch@copart.com
140,FREDERICKSBURG (VA) 22408,FREDERICKSB URG,VA,22408,frederick.stephenson@copart.com
141,MANHEIM NEW ENGLAND,North Dighton,MA,2764,david.carlucci@coxautoinc.com
142,Miami Terminal,Miami,FL,33332,
143,IN - Dyer,Dyer,IN,46311,lisa.benecke@copart.com
144,SOUTHERN ILLINOIS (IL) 62207,ALORTON,IL,62207,michael.tovar@copart.com
145,MS - Grenada,Grenada,MS,38901,samuel.martin@copart.com
146,Earlington,Earlington,Kentucky,42410,
147,GA - Fairburn,Fairburn,GA,30213,tiffany.johnson@copart.com
148,DANVILLE 24531,CHATHAM,VA,24531,wendy.farris@copart.com
149,SPARTANBURG (SC) 29301,SPARTANBURG,SC,29301,robert.colton@copart.com
150,ATLANTA SOUTH 30294,ELLENWOOD,GA,30294,sara.germani@copart.com
151,"ANDREWS, TX 79714",ANDREWS,TX,79714,james.smith5@copart.com
152,BATON ROUGE 70739,GREENWELL SPRINGS,LA,70739,christopher.pourciau@copart.com
153,BOISE 83651,NAMPA,ID,83651,alyssa.guerrero@copart.com
154,CANDIA NH 03034,Candia,NH,3034,wendy.szymczycha@copart.com
155,WASHINGTON (DC) 20602,WASHINGTON,DC,20602,
156,CRASHEDTOYS DALLAS,DALLAS,TX,75247,matt.richards@copart.com
157,"DENVER CENTRAL, CO 80229",DENVER,CO,80229,eric.schleeter@copart.com
158,"DAYTON, OH 45439",Moraine,OH,45439,benjamin.hardin@copart.com
159,"DENVER SOUTH, CO 80125",LITTLETON,CO,80125,eric.schleeter@copart.com
160,FLINT 48423,Davison,MI,48423,jonathan.kingen@copart.com
161,CHARLESTON/Hurri cane 25526,HURRICANE,WV,25526,brandi.evans@copart.com
162,Houston East,Houston,TX,77049,james.kawa@copart.com
163,"LUFKIN, TX 75904",LUFKIN,TX,75904,joshua.gardner@copart.com
164,WACO (TX) 76501,TEMPLE,TX,76501,jessica.clark@copart.com
165,MINNEAPOLIS NORTH 55304,HAM LAKE,MN,55304,kayla.teeselink@copart.com
166,ORLANDO SOUTH (FL),ORLANDO,FL,32824,daniel.sullivan@copart.com
167,PITTSBURGH NORTH (PA) 16117,ELLWOOD CITY,PA,16117,terri.dambra@copart.com
168,SIKESTON (MO) 63801,SIKESTON,MO,63801,debbie.fisher@copart.com
169,ALBUQUERQUE 87105,ALBUQUERQU E,NM,87105,vicki.garcia@copart.com
170,SPOKANE (WA) 99001,AIRWAY HEIGHTS,WA,99001,devin.malpasuto@copart.com
171,ST. CLOUD (MN) 56310,AVON,MN,56310,michelle.polaski@copart.com
172,ST. LOUIS (MO) 63044,BRIDGETON,MO,63044,jaelyn.stringer@copart.com
173,TULSA (OK) 74107,TULSA,OK,74107,rachel.fashing@copart.com
174,ATLANTA EAST 30052,LOGANVILLE,GA,30052,tiffany.todd@copart.com
175,DOTHAN 36352,HARLEYVILLE,SC,29448,lyndsey.mizell@copart.com
176,LOS ANGELES 90001,LOS ANGELES,CA,90001,jaime.valdivia@copart.com
177,NV - LAS VEGAS WEST Lucky Sublot,ARROLIME,NV,89165,michelle.mcclellan@copart.com
178,PASCO (WA) 99301,PASCO,WA,99301,chuck.penney@copart.com
179,PORTLAND NORTH (OR) 97218,PORTLAND,OR,97218,carrie.preisinger@copart.com
180,SALT LAKE CITY (UT) 84044,7320 WEST,UT,84044,brady.guay@copart.com
181,SAN DIEGO (CA) 92154,SAN DIEGO,CA,92154,christopher.porter@copart.com
182,VALLEJO (CA) 94590,VALLEJO,CA,94590,sione.latuhoi@copart.com
183,WALTON (KY) 41094,WALTON,KY,41094,holly.sawyers@copart.com
184,WHEELING (IL) 60090,WHEELING,IL,60090,keaston.bonnell@copart.com
185,WICHITA (KS) 67216,WICHITA,KS,67216,ryan.barill@copart.com
186,Windham,Windham,ME,4062,sean.kenney@copart.com
187,"MOCKSVILLE, NC 27028",MOCKSVILLE,NC,27028,seth.arey@copart.com
188,NORTH BOSTON 01862,NORTH BILLERICA,MA,1862,patrick.serra@copart.com
189,Clewiston Sublot,CLEWISTON,FL,33440,julio.feliz@copart.com
190,GA - Augusta,Augusta,GA,30906,gm.yard359@copart.com
191,MILWAUKEE SOUTH,Franklin,Wisconsin,53132,jeff.jordan@copart.com
192,AL - Mobile South,Theodore,AL,36582,gm.yard184@copart.com
193,INDIANAPOLIS 46254,INDIANAPOLIS,IN,46254,patrick.harrison@copart.com
194,LOUISVILLE 40272,LOUISVILLE,KY,40272,colleen.huff@copart.com
195,"Wayland, 49348",Wayland,MI,49348,
196,WASHINGTON DC DC,WASHINGTON DC DC,DC,20602,
197,WEST MIFFLIN PA,PITTSBURGH SOUTH,PA,15122,
198,(LEBANON  - TN),LEBANON,TN,0,colin.brand@copart.com
199,PITTSBURGH NORTH (PA) 16117 (ELLWOOD CITY PA),ELLWOOD CITY,PA,16117,terri.dambra@copart.com
200,ATLANTA WEST 30168 (AUSTELL GA),AUSTELL,GA,30168,renato.parris@copart.com
201,MIAMI SOUTH 33032 (HOMESTEAD FL),HOMESTEAD,FL,33032,michael.santos@copart.com
202,HARTFORD 06051(NEW BRITAIN CT),NEW BRITAIN,CT,6051,jim.costello@copart.com
203,"Gastonia, 28052",Gastonia,NC,28052,
204,NEWBURGH/Marlbo ro 12542 (MARLBORO NY),MARLBORO,NY,12542,mike.cassata@copart.com
205,FLINT 48423 (DAVISON MI),DAVISON,MI,48423,jonathan.kingen@copart.com
206,"BUFFALO, NY 14006",BUFFALO,NY,14006,tim.bennett@copart.com
207,"BUFFALO, NY 14006 (ANGOLA NY)",ANGOLA,NY,14006,tim.bennett@copart.com
208,LEXINGTON WEST 40342 (LAWRENCEBURG KY),LAWRENCEBURG,KY,40342,joyce.middleton@copart.com
209,PUNTA GORDA SOUTH (FL) 33982,PUNTA GORDA SOUTH,FL,33982,
210,Tampa North (FL) 34667,Tampa North,FL,34667,mgr-Tampa_North@iaai.com
211,"AKRON (OH), 44203",Barberton,OH,44203,
212,"Akron (OH), 44203",Barberton,OH,44203,
213,FREETOWN (MA),FREETOWN,MA,2702,thure.wester@copart.com
214,"TRENTON Yard 026 SUBLOT, 18073",PENNSBURG,PA,18073,
215,CHALFONT (PA),CHALFONT,PA,18914,
216,FRANKLIN (WI),FRANKLIN,WI,53110,
217,"TAYLR Sublot, 76574",TAYLOR,TX,76574,
218,TEMPLE TX,TEMPLE,TX,76574,
219,MILWAUKEE NORTH (WI),MILWAUKEE NORTH,WI,53224,
220,MINNEAPOLIS NORTH (MN),MINNEAPOLIS NORTH,MN,55434,
221,Omaha South,Greenwood,NE,68366,mgr-OmahaSouth@iaai.com
222,"WACO, TX",WACO,TX,76574,
223,LINCOLN (NE),LINCOLN,NE,68366,
224,ATLANTA NORTH 30507 (GAINESVILLE GA),GAINESVILLE,GA,30507,eric.smart@copart.com
225,SHA LIU,GASTON,SC,29053,terra.russell@copart.com
226,DUNN (NC),RALEIGH,NC,28334,
227,OKEECHOBEE 34972,OKEECHOBEE,FL,34972,
228,RALEIGH NORTH 27545,RALEIGH,NC,27545,
229,GASTON SC,COLUMBIA,SC,29053,
230,TAMPA SOUTH (FL) 33578 (RIVERVIEW FL),RIVERVIEW,FL,33578,james.holtmann@copart.com
231,WALDORF MD,WASHINGTON DC,MD,20602,
232,DALLAS SOUTH 75172 (WILMER TX),WILMER,TX,75172,george.bailey@copart.com
233,WINDSOR NJ,TRENTON,NJ,8028,
234,"NORTH AUSTIN, 76574",Taylor,TX,76574,filadelfo.ramirez@copart.com
235,HAYWARD - DESERT VIEW,HAYWARD,CA,94545,allie.palmer@copart.com
236,"Las Vegas West, 89032",Las Vegas,NV,89032,
237,LONG BEACH (CA) 90744 (WILMINGTON CA),WILMINGTON,CA,90744,robert.zepeda@copart.com
238,LONG BEACH (CA) 90744,WILMINGTON,CA,90744,robert.zepeda@copart.com
239,MENTONE (CA) 92359,MENTONE,CA,92359,elizabeth.carrillo@copart.com
240,NAPA CA,NAPA,CA,94503,
241,NORTH SEATTLE 98223 (ARLINGTON WA),ARLINGTON,WA,98223,harold.reynolds@copart.com
242,AZ - Phoenix North,Phoenix,AZ,85085,nick.napier@copart.com
243,RANCHO CUCAMONGA (CA) 91739,RANCHO CUCAMONGA,CA,91739,jesus.vaca@copart.com
244,SAN JOSE (CA) 95046 (SAN MARTIN),SAN MARTIN,CA,0,mary.volz@copart.com
245,"TRENTON YORK HAVEN, 17370",YORK HAVEN,PA,17370,
246,Bismarck 58504,Bismarck,ND,58504,
247,GRAND PRAIRIE TX,DALLAS,TX,75051,
248,PHILADELPHIA EAST SUBLOT PA,Chalfont,PA,18914,krista.nicholson@copart.com
249,Abilene 79601,Hawley,TX,79525,
250,Albany 12303,Schenectady,NY,12303,
251,Altoona 16637,East Freedom,PA,16637,
252,Anchorage (AK),Wasilla,AK,99654,
253,Appleton 54914,Appleton,WI,54914,
254,Asheville (NC) 28732,Fletcher,NC,28732,
255,Ashland 41102,Ashland,KY,41102,
256,Avenel New Jersey 07001,Avenel,NJ,7001,
257,Baltimore 21226,Baltimore,MD,21226,
258,Baton Rouge 70754,Livingston,LA,70754,
259,Billings (MT) 59101,Billings,MT,59101,
260,Birmingham 35022,Bessemer,AL,35022,
261,Boise 83605,Meridian,ID,83642,
262,Boston - Shirley (MA) 01464,Shirley,MA,1464,
263,Bowling Green (KY) 42101,Bowling Green,KY,42101,
264,Buckhannon 26201,Buckhannon,WV,26201,
265,Buffalo 14207,buffalo,NY,14207,
266,Burlington 05451,Essex,VT,5451,
267,Casper,Casper,WY,82601,
268,Central New Jersey 07751,Morganville,NJ,7751,
269,Charleston 29470,Ravenel,SC,29470,
270,Charlotte 28206,Charlotte,NC,28206,
271,Chattanooga 37404,Chattanooga,TN,37404,
272,Chicago-South 60428,Markham,IL,60428,
273,Cincinnati 45069,West Chester,OH,45069,
274,Cincinnati-South 45102,Amelia,OH,45102,
275,Clearwater 33760,Clearwater,FL,33760,
276,Cleveland 44053,Lorain,OH,44053,
277,"Columbia, SC 29209",Columbia,SC,29209,
278,Concord 28025,Concord,NC,28025,
279,"Culpeper, VA 22701",Culpeper,VA,22701,
280,Davenport 52802,Davenport,IA,52802,
281,Dayton 45427,Dayton,OH,45417,
282,Denver 80221,Denver,CO,80221,
283,Denver East (CO) 80022,Commerce City,CO,80022,
284,Des Moines 50069,De Soto,IA,50069,
285,Dothan 36345,Headland,AL,36345,
286,Dundalk (MD) 21222,Dundalk,MD,21222,
287,Elkton (MD) 21921,Elkton,MD,21921,
288,Erie 16416,Garland,PA,16416,
289,Fargo 58102,Fargo,ND,58102,
290,Flint MI 48507,Flint,MI,48507,
291,Fort Myers (FL) 33903,Fort Myers,FL,33913,
292,"Fort Pierce, FL 34945",Fort Pierce,FL,34945,
293,Fredericksgburg South 22408,Fredericksburg,VA,22408,
294,Grand Rapids 49315,Byron Center,MI,49315,
295,Greenville 29681,Simpsonville,SC,29681,
296,Grenada (MS) 38901,Grenada,MS,38901,
297,Akron-Canton 44663,New Philadelphia,OH,44663,
298,Chicago-West 60505,Aurora,IL,60505,
299,Columbus OH 43123,Grove City,OH,43123,
300,Detroit 48111,Belleville,MI,48111,
301,Englishtown (NJ) 07726,Englishtown,NJ,7726,
302,Greensboro 27253,Graham,NC,27253,
303,Atlanta North 30101,Acworth,GA,30101,
304,Corpus Christi 78405,Corpus Christi,TX,78405,
305,Albuquerque 87105,Albuquerque,NM,87105,
306,ACE - Perris (CA) 92571,Perris,CA,92571,
307,Amarillo (TX) 79118,Amarillo,TX,79118,Mgr-Amarillo@iaai.com
308,Eugene 97402,Eugene,OR,97402,
309,Chicago-North 60118,East Dundee,IL,60118,
310,Anaheim 92806,Anaheim,CA,92806,
311,ACE - Carson (CA) 90248,Carson,CA,90248,
312,East Bay 94565,Bay Point,CA,94565,
313,Colton (CA) 92324,Colton,CA,92324,
314,Fontana 92335,Fontana,CA,92335,
315,Fremont 94538,Fremont,CA,94538,
316,Fresno 93705,Fresno,CA,93705,
317,Atlanta East 30680,Winder,GA,30680,
318,Dallas 75172,Wilmer,TX,75172,
319,Austin 78616,Dale,TX,78616,
320,Atlanta 30052,Loganville,GA,30052,
321,Gulf Coast (MS) 39562,Moss Point,MS,39562,
322,Hartford 06088,East Windsor,CT,6088,
323,Hartford-South 06457,Middletown,CT,6457,
324,Honolulu (Kailua- Kona Hawaii island) 96707,Kailua-Kona Hawaii island,HI,0,
325,Honolulu (Kapolei Oahu island) 96707,Kapolei Oahu island,HI,96707,
326,Honolulu (Lihue Kauai island) 96707,Lihue Kauai island,HI,0,
327,Honolulu (Maui Maui Island) 96707,Maui Maui Island,HI,0,
328,Huntsville 35613,Athens,AL,35613,
329,Indianapolis 46217,Indianapolis,IN,46217,
330,Jackson 39272,Byram,MS,39272,
331,Jacksonville 32218,Jacksonville,FL,32218,
332,Knoxville 37914,Knoxville,TN,37914,
333,Lafayette (LA) 70507,Lafayette,LA,70507,
334,Laurel 20707,Laurel,MD,20707,
335,Lexington (SC) 29073,Lexington,SC,29073,
336,Lincoln 62656,Lincoln,IL,62656,
337,Little Rock 72142,Scott,AR,72142,
338,LIVINGSTON (LA) 70754,LIVINGSTON,LA,70754,
339,Louisville (KY) 40165,Shepherdsville,KY,40165,
340,Louisville North (KY),Eminence,KY,40019,
341,"Lubbock, TX 79415",Lubbock,TX,79415,
342,Macon (GA) 31217,Macon,GA,31217,
343,Manchester 03079,Salem,NH,3079,
344,Memphis 38118,Memphis,TN,38118,
345,Miami 33054,Opa Locka,FL,33054,
346,Miami-North 33332,fort lauderdale,FL,33332,
347,Milwaukee 53089,Sussex,WI,53089,
348,Missoula 59802,Missoula,MT,59808,
349,Nashville 37218,Nashville,TN,37218,
350,New Castle 19720,New Castle,DE,19720,
351,New Orleans 70433,Covington,LA,70433,
352,New Orleans East 70126,New Orleans,LA,70126,
353,Newburgh 12575,Rock Tavern,NY,12575,
354,Northern New Jersey 07008,Carteret,NJ,7008,
355,Northern Virginia 22406,Fredericksburg,VA,22406,
356,Oklahoma City 73121,Oklahoma City,OK,73121,
357,Omaha 68059,Springfield,NE,68059,
358,Orlando 32824,Orlando,FL,32824,
359,Orlando-North 32773,Sanford,FL,32773,
360,Paducah 42002,Paducah,KY,42002,
361,Pensacola 32583,Milton,FL,32583,
362,Permian Basin 79764,Odessa,TX,79764,
363,Philadelphia 19428,Conshohocken,PA,19428,
364,Philadelphia East 19136,Philadelphia,PA,19136,
365,Pittsburgh 15001,Aliquippa,PA,15001,
366,Pittsburgh-North 15044,Gibsonia,PA,15044,
367,Portage (WI) 53901,Portage,WI,53901,
368,Portland - Gorham (ME),Gorham,ME,4038,
369,Providence (RI) 02915,Riverside,RI,2915,
370,Raleigh 27520,Clayton,NC,27520,
371,Roanoke (VA) 24122,Montvale,VA,24122,
372,Rosedale  21237,Rosedale,MD,21237,
373,Pulaski 24301,Pulaski,VA,24301,
374,McAllen (TX) - 78537,Donna,TX,78537,
375,Houston South 77583,Rosharon,TX,77583,
376,Houston 77038,Houston,TX,77038,
377,Rochester 14416,Bergen,NY,14416,
378,Sacramento 95742,Rancho Cordova,CA,95742,
379,Los Angeles 90248,Gardena,CA,90248,
380,Los Angeles South (CA) 90744,Wilmington,CA,90744,
381,Atlanta South 30260,Lake City,GA,30260,
382,North Hollywood 91605,North Hollywood,CA,91605,
383,Las Vegas 89011,Henderson,NV,89011,
384,Portland 97230,Portland,OR,97230,
385,Puyallup 98374,Puyallup,WA,98374,
386,Reno 89434,Mccarran,NV,89434,
387,Riverside (CA) 92509,RIVERSIDE,CA,92509,
388,Salt Lake City 84401,Ogden,UT,84401,
389,Houston-North 77032,Houston,TX,77032,
390,Richmond 23005,Ashland,VA,23005,
391,Metro DC 20613,Metro Dc MD,MD,20613,
392,Longview 75605,Longview,TX,75605,
393,Savannah 31326,Rincon,GA,31326,
394,Scranton 18640,Pittston,PA,18640,
395,Shady Spring 25918,Shady Spring,WV,25918,
396,Shreveport (LA),Greenwood,LA,71033,
397,South Bend 46619,South Bend,IN,46619,
398,Southern New Jersey 08012,Turnersville,NJ,8012,
399,Specialty Division IL,Wheeling,IL,60090,
400,Springfield 65803,Springfield,MO,65803,
401,Suffolk (VA) 23434,Suffolk,VA,23434,
402,Syracuse 13039,Cicero,NY,13039,
403,Tampa 34221,Palmetto,FL,34221,
404,Tampa North 34667,Hudson,FL,34667,
405,Taunton 02718,East Taunton,MA,2718,
406,Tidewater VA 23693,Yorktown,VA,23693,
407,Tifton 31794,Tifton,GA,31794,
