id,location,city,state,postal_code,savannah,nj,houston,miami,chicago,email,type_id,losangeles
37,COLUMBIA MO 65201,COLUMBIA,MO,65201,700,750,0,0,0,terra.russell@copart.com,1,0
38,COLUMBUS 43207,COLUMBUS,OH,43207,750,450,0,0,0,chris.brown@copart.com,1,0
39,"CORPUS CHRISTI, TX 78405",CORPUS CHRISTI,TX,78405,800,1250,0,0,0,bob.ocanas@copart.com,1,0
40,CRASHEDTOYS ATLANTA 30344,EAST POINT,GA,30344,350,850,0,375,0,"",1,0
41,"CRASHEDTOYS EAST BETHEL, MN 55011",EAST BETHEL,MN,55011,1150,680,0,0,0,"",1,0
42,CRASHEDTOYS MINNEAPOLIS 55434,BLAINE,MN,55434,1200,700,0,0,0,kari.bicha@copart.com,1,0
43,ATLANTA NORTH 30507,GAINESVILLE,GA,30507,325,0,0,380,0,eric.smart@copart.com,1,0
46,DES MOINES 50317,DES MOINES,IA,50317,0,600,0,0,0,jackie.wallin@copart.com,1,0
47,"EL PASO, TX 79821",Anthony,TX,79821,0,0,0,625,0,ignacio.elizondo@copart.com,1,0
50,FORT WAYNE 46803,FORT WAYNE,IN,46803,850,600,0,0,0,allison.terhune@copart.com,1,0
51,CHICAGO SOUTH 60411,CHICAGO HEIGHTS,IL,60411,850,600,0,730,0,miguel.ayala@copart.com,1,0
53,HAMMOND 46320,HAMMOND,IN,46320,0,500,0,0,0,"",1,0
54,"HAMPTON,VA 23666",HAMPTON,VA,23666,600,380,0,600,0,ryan.alequin@copart.com,1,0
56,HELENA 59601,HELENA,MT,59601,0,1400,0,0,0,kaitlyn.monroe@copart.com,1,0
57,HONOLULU (KAPOLEI) 96707,KAPOLEI,HI,96707,4500,5200,0,6000,0,"",1,0
58,HONOLULU (KAILUA-KONA) 96707,KAILUA-KONA,0,0,4200,5200,0,5800,0,"",1,0
59,HONOLULU ( LIHUE) 96707,LIHUE,0,0,4550,5550,0,5700,0,apolonia.duclayan@copart.com,1,0
60,HONOLULU (MAUI) 96707,MAUI,0,0,4500,5200,0,5900,0,"",1,0
61,"ABILENE, TX 79601",ABILENE,TX,79601,850,0,0,800,0,danielle.stewart@copart.com,1,0
62,IA - CRASHEDTOYS ELDRIDGE,ELDRIDGE,IA,52748,0,650,0,0,0,"",1,0
64,MADISON 53718,MADISON,WI,53718,0,800,0,0,0,"",1,0
741,El Paso 79927,El Paso,TX,79927,0,0,515,690,0,"",4,0
49,EXETER,EXETER,RI,2822,0,435,0,0,0,joshua.gaudette@copart.com,1,0
65,"MILWAUKEE, WI 53110",MILWAUKEE,WI,53110,0,725,0,0,0,"",1,0
19,ANTELOPE 95843,ANTELOPE,CA,95843,1600,0,0,1550,0,michael.sprifke@copart.com,1,450
29,BAKERSFIELD 93307,BAKERSFIELD,CA,93307,1650,0,0,1650,0,jose.avila@copart.com,1,310
24,SACRAMENTO (CA) 95828,SACRAMENTO,CA,95828,1600,1600,0,0,0,"",1,360
44,FRESNO 93725,FRESNO,CA,93725,1600,1600,0,1450,0,ana.deleon@copart.com,1,300
48,EUGENE 97402,EUGENE,OR,97402,1800,1600,0,1600,0,tyler.dschaak@copart.com,1,650
52,GRAHAM 98338,GRAHAM,WA,98338,2000,1650,0,1800,0,robert.foehl@copart.com,1,750
35,HAYWARD 94545,HAYWARD,CA,94545,1600,1600,0,1560,0,"",1,395
55,"CRASHEDTOYS SACRAMENTO, CA 95828",SACRAMENTO,CA,95828,1600,1600,0,1500,0,anthony.jones@copart.com,1,360
66,PITTSBURGH EAST (PA) 15611,ADAMSBURG,PA,15611,0,450,0,0,0,"",1,0
67,DALLAS SOUTH 75172,WILMER,TX,75172,750,0,0,550,0,george.bailey@copart.com,1,0
68,MIAMI CENTRAL 33167,MIAMI,FL,33167,325,800,0,120,0,julio.feliz@copart.com,1,0
69,MONTGOMERY 36116,MONTGOMERY,AL,36116,370,0,0,550,0,eric.leon@copart.com,1,0
70,SEAFORD (DE) 19973,SEAFORD,DE,19973,0,340,0,0,0,samantha.harrell@copart.com,1,0
71,MIAMI SOUTH 33032,HOMESTEAD,FL,33032,325,800,0,135,0,michael.santos@copart.com,1,0
72,MACON (GA) 31008,BYRON,GA,31008,320,850,0,375,0,brandy.allen@copart.com,1,0
73,SAVANNAH (GA) 31405,SAVANNAH,GA,31405,150,0,0,375,0,allen.stewart@copart.com,1,0
74,ROCHESTER (NY) 14482,LEROY,NY,14482,0,400,0,0,0,scott.mccumiskey@copart.com,1,0
75,"LUMBERTON, NC 28360",LUMBERTON,NC,28360,400,450,0,0,0,lindsay.coats@copart.com,1,0
76,MEBANE 27302,MEBANE,NC,27302,415,450,0,0,0,hector.hernandez@copart.com,1,0
77,RALEIGH (NC) 28334,DUNN,NC,28334,315,430,0,0,0,anthony.morris3@copart.com,1,0
78,PHILADELPHIA (PA) 18073,PENNSBURG,PA,18073,0,225,0,0,0,edward.davidheiser@copart.com,1,0
79,PHILADELPHIA EAST (PA) 18914,CHALFONT,PA,18914,0,225,0,0,0,krista.nicholson@copart.com,1,0
80,SCRANTON (PA) 18642,DURYEA,PA,18642,0,340,0,0,0,jamie.miley@copart.com,1,0
81,MEMPHIS 38118,MEMPHIS,TN,38118,535,800,0,550,0,christina.beesley@copart.com,1,0
82,RUTLAND (VT) 05736,RUTLAND,VT,5736,0,475,0,0,0,stephen.cornwell@copart.com,1,0
83,RICHMOND (VA) 23150,SANDSTON,VA,23150,0,375,0,0,0,gerald.faries@copart.com,1,0
84,"RICHMOND EAST, VA 23030",CHARLES CITY,VA,23030,0,375,0,0,0,gerald.faries@copart.com,1,0
85,MOBILE 36613,EIGHT MILE,AL,36613,425,0,0,650,0,mark.bond@copart.com,1,0
86,TRENTON (NJ) 08561,WINDSOR,NJ,8561,0,175,0,0,0,"",1,0
87,MIAMI NORTH 33054,opa locka,FL,33054,325,800,0,120,0,duanle.garcia@copart.com,1,0
89,FAYETTEVILLE 72753,PRAIRIE GROVE,AR,72753,800,950,0,0,0,jordan.nase@copart.com,1,0
91,"CICERO, IN 46034",Cicero,IN,46034,650,525,0,0,0,britney.parker@copart.com,1,0
92,CONCORD NC (28025 ),CONCORD,NC,28025,410,500,0,0,0,hilda.rebollar@copart.com,1,0
93,"MCALLEN, TX 78570",MERCEDES,TX,78570,690,0,0,675,0,david.landon@copart.com,1,0
94,"IONIA, MI 48875",PORTLAND,MI,48875,800,550,0,0,0,dawn.stinson@copart.com,1,0
95,JACKSONVILLE EAST 32209,JACKSONVILLE,FL,32209,250,0,0,300,0,"",1,0
96,KANSAS CITY 66111,KANSAS CITY,KS,66111,750,675,0,0,0,erin.pinzon@copart.com,1,0
97,"LONGVIEW, TX 75603",LONGVIEW,TX,75603,650,0,0,550,0,jeffrey.king@copart.com,1,0
98,KINCHELOE (MI) 49788,KINCHELOE,MI,49788,1200,1000,0,0,0,jonathan.kingen@copart.com,1,0
99,KNOXVILLE 37354,MADISONVILLE,TN,37354,450,575,0,550,0,eddie.tredinnick@copart.com,1,0
100,LANSING 48917,LANSING,MI,48917,800,575,0,0,0,juan.pena1@copart.com,1,0
102,LEXINGTON EAST 40509,LEXINGTON,KY,40509,535,500,0,0,0,james.morgan@copart.com,1,0
103,LEXINGTON WEST 40342,LAWRENCEBU RG,KY,40342,535,500,0,0,0,joyce.middleton@copart.com,1,0
104,LINCOLN 68366,GREENWOOD,NE,68366,1000,700,0,0,0,glenn.shipman@copart.com,1,0
105,LITTLE ROCK 72032,CONWAY,AR,72032,650,900,0,0,0,brian.anible@copart.com,1,0
106,JACKSON 39073,FLORENCE,MS,39073,525,0,0,580,0,charles.payne@copart.com,1,0
107,LYMAN 04002,LYMAN,ME,4002,0,450,0,0,0,sean.kenney@copart.com,1,0
108,OCALA 34482,OCALA,FL,34482,300,0,0,250,0,ryan.zbikowski@copart.com,1,0
109,NASHVILLE 37090,LEBANON,TN,37090,430,600,0,500,0,colin.brand@copart.com,1,0
110,NEW ORLEANS 70129,NEW ORLEANS,LA,70129,475,0,0,500,0,adam.kennedy@copart.com,1,0
113,OKLAHOMA CITY 73129,OKLAHOMA CITY,OK,73129,750,880,0,0,0,austin.hampton@copart.com,1,0
114,ORLANDO NORTH (FL),APOPKA,FL,32712,310,900,0,250,0,mohammed.albalawi@copart.com,1,0
115,PEORIA (IL) 61554,PEKIN,IL,61554,0,625,0,0,0,marcus.shipe@copart.com,1,0
116,PITTSBURGH SOUTH (PA) 15122,WEST MIFFLIN,PA,15122,0,450,0,0,0,william.shay@copart.com,1,0
117,"PITTSBURGH WEST, (PA) 15122",WEST MIFFLIN,PA,15122,0,450,0,0,0,william.shay@copart.com,1,0
120,SAN ANTONIO (TX) 78224,SAN ANTONIO,TX,78224,0,0,0,515,0,gina.campos@copart.com,1,0
123,SPRINGFIELD (MO) 65742,ROGERSVILLE,MO,65742,625,630,0,0,0,"",1,0
124,SHREVEPORT (LA) 71109,SHREVEPORT,LA,71109,550,0,0,0,0,jeff.stuart@copart.com,1,0
111,NORTH SEATTLE 98223,ARLINGTON,WA,98223,2000,1600,0,1550,0,harold.reynolds@copart.com,1,850
112,OGDEN UT,FARR WEST,UT,84404,0,1400,0,0,0,luke.johnson@copart.com,1,525
118,PORTLAND SOUTH (OR) 97071,WOODBURN,OR,97071,0,1350,0,0,0,andrew.stolzman@copart.com,1,650
128,REDDING (CA) 96007,ANDERSON,CA,96007,0,0,0,1600,0,juan.ramirez@copart.com,1,600
119,RENO (NV) 89506,RENO,NV,89506,0,1600,0,1350,0,jeremy.stratton@copart.com,1,500
121,SAN BERNARDINO (CA) 92324,COLTON,CA,92324,1550,1550,0,1450,0,lawrence.chen@copart.com,1,210
125,SO SACRAMENTO 95828,SACRAMENTO,CA,95828,1600,1650,0,1550,0,donald.hillyard@copart.com,1,390
127,SUN VALLEY (CA) 91352,SUN VALLEY,CA,91352,1550,1550,0,1500,0,alfonso.argott@copart.com,1,245
90,TUCSON AZ) 85706,TUCSON,AZ,85706,0,0,0,1150,0,cesar.villegas@copart.com,1,390
122,SAN JOSE (CA) 95046,SAN MARTIN,CA,95046,0,1550,0,1550,0,mary.volz@copart.com,1,395
132,JACKSONVILLE NORTH 32218,JACKSONVILLE,FL,32218,250,0,0,300,0,robert.meacham@copart.com,1,0
133,JACKSONVILLE WEST 32220,JACKSONVILLE,FL,32220,250,0,0,300,0,"",1,0
134,Kansas CITY  Yard 17 KS City Sublot,Kansas City,KS,66111,725,725,0,750,0,"",1,0
135,TALLAHASSEE (FL) 32343,MIDWAY,FL,32343,375,0,0,380,0,garrett.wolff@copart.com,1,0
136,TAMPA SOUTH (FL) 33578,RIVERVIEW,FL,33578,370,750,0,270,0,james.holtmann@copart.com,1,0
137,WEST PALM BEACH (FL) 33411,WEST PALM BEACH,FL,33411,320,0,0,250,0,kevin.arroyave@copart.com,1,0
138,TIFTON (GA) 31794,TIFTON,GA,31794,310,0,0,370,0,melanie.johnson1@copart.com,1,0
139,SOUTH BOSTON (MA) 01756,MENDON,MA,1756,0,375,0,0,0,sean.gesner@copart.com,1,0
140,WEST WARREN (MA) 01092,WEST WARREN,MA,1092,0,350,0,0,0,tara.parzychowski@copart.com,1,0
141,SOMERVILLE (NJ) 08844,HILLSBOROUG H,NJ,8844,0,195,0,0,0,rafal.brozyna@copart.com,1,0
142,TRENTON JOBSTOWN SUBLOT (NJ) 08041,JOBSTOWN,NJ,8041,450,200,0,0,0,jeri.priolo@copart.com,1,0
144,NEWBURGH/Marlbo ro 12542,MARLBORO,NY,12542,0,285,0,0,0,mike.cassata@copart.com,1,0
145,SYRACUSE (NY) 13036,CENTRAL SQUARE,NY,13036,0,375,0,0,0,nathan.caralla@copart.com,1,0
146,HARRISBURG 17028,GRANTVILLE,PA,17028,800,310,0,0,0,alex.ciambrone@copart.com,1,0
147,TANNER (AL) 35671,TANNER,AL,35671,425,0,0,550,0,zachary.atchley@copart.com,1,0
148,YORK HAVEN (PA) 17370,YORK HAVEN,PA,17370,0,330,0,0,0,jeffrey.micklitsch@copart.com,1,0
150,FREDERICKSBURG (VA) 22408,FREDERICKSB URG,VA,22408,520,490,0,0,0,frederick.stephenson@copart.com,1,0
151,MANHEIM NEW ENGLAND,North Dighton,MA,2764,0,275,0,0,0,david.carlucci@coxautoinc.com,1,0
152,Miami Terminal,Miami,FL,33332,0,0,0,0,0,"",1,0
153,IN - Dyer,Dyer,IN,46311,700,625,0,0,0,lisa.benecke@copart.com,1,0
154,SOUTHERN ILLINOIS (IL) 62207,ALORTON,IL,62207,650,650,0,650,0,michael.tovar@copart.com,1,0
155,MS - Grenada,Grenada,MS,38901,550,800,0,500,0,samuel.martin@copart.com,1,0
156,Earlington,Earlington,Kentucky,42410,575,550,0,0,0,"",1,0
158,GA - Fairburn,Fairburn,GA,30213,325,0,0,375,0,tiffany.johnson@copart.com,1,0
159,DANVILLE 24531,CHATHAM,VA,24531,490,490,0,0,0,wendy.farris@copart.com,1,0
161,SPARTANBURG (SC) 29301,SPARTANBURG,SC,29301,290,575,0,0,0,robert.colton@copart.com,1,0
162,ATLANTA SOUTH 30294,ELLENWOOD,GA,30294,325,0,0,380,0,sara.germani@copart.com,1,0
163,"ANDREWS, TX 79714",ANDREWS,TX,79714,0,0,0,550,0,james.smith5@copart.com,1,0
164,BATON ROUGE 70739,GREENWELL SPRINGS,LA,70739,500,900,0,610,0,christopher.pourciau@copart.com,1,0
165,BOISE 83651,NAMPA,ID,83651,1800,1400,0,0,0,alyssa.guerrero@copart.com,1,0
167,CANDIA NH 03034,Candia,NH,3034,900,435,0,0,0,wendy.szymczycha@copart.com,1,0
168,WASHINGTON (DC) 20602,WASHINGTON,DC,20602,475,375,0,575,0,"",1,0
169,CRASHEDTOYS DALLAS,DALLAS,TX,75247,800,1000,0,500,0,matt.richards@copart.com,1,0
170,"DENVER CENTRAL, CO 80229",DENVER,CO,80229,825,750,0,0,0,eric.schleeter@copart.com,1,0
171,"DAYTON, OH 45439",Moraine,OH,45439,800,450,0,0,0,benjamin.hardin@copart.com,1,0
172,"DENVER SOUTH, CO 80125",LITTLETON,CO,80125,900,750,0,0,0,eric.schleeter@copart.com,1,0
173,FLINT 48423,Davison,MI,48423,800,550,0,0,0,jonathan.kingen@copart.com,1,0
174,CHARLESTON/Hurri cane 25526,HURRICANE,WV,25526,700,560,0,0,0,brandi.evans@copart.com,1,0
175,Houston East,Houston,TX,77049,600,0,0,500,0,james.kawa@copart.com,1,0
176,"LUFKIN, TX 75904",LUFKIN,TX,75904,0,0,0,550,0,joshua.gardner@copart.com,1,0
177,WACO (TX) 76501,TEMPLE,TX,76501,0,775,0,675,0,jessica.clark@copart.com,1,0
178,MINNEAPOLIS NORTH 55304,HAM LAKE,MN,55304,0,770,0,0,0,kayla.teeselink@copart.com,1,0
179,ORLANDO SOUTH (FL),ORLANDO,FL,32824,310,900,0,250,0,daniel.sullivan@copart.com,1,0
181,PITTSBURGH NORTH (PA) 16117,ELLWOOD CITY,PA,16117,0,450,0,0,0,terri.dambra@copart.com,1,0
184,SIKESTON (MO) 63801,SIKESTON,MO,63801,600,650,0,0,0,debbie.fisher@copart.com,1,0
185,ALBUQUERQUE 87105,ALBUQUERQU E,NM,87105,1050,0,0,0,0,vicki.garcia@copart.com,1,0
186,SPOKANE (WA) 99001,AIRWAY HEIGHTS,WA,99001,0,1600,0,1750,0,devin.malpasuto@copart.com,1,0
187,ST. CLOUD (MN) 56310,AVON,MN,56310,0,680,0,0,0,michelle.polaski@copart.com,1,0
188,ST. LOUIS (MO) 63044,BRIDGETON,MO,63044,0,590,0,0,0,jaelyn.stringer@copart.com,1,0
189,TULSA (OK) 74107,TULSA,OK,74107,750,750,0,600,0,rachel.fashing@copart.com,1,0
190,ATLANTA EAST 30052,LOGANVILLE,GA,30052,325,0,0,375,0,tiffany.todd@copart.com,1,0
149,DOTHAN 36352,HARLEYVILLE,SC,29448,300,0,0,410,0,lyndsey.mizell@copart.com,1,0
131,LOS ANGELES 90001,LOS ANGELES,CA,90001,1400,1400,0,1275,0,jaime.valdivia@copart.com,1,175
160,NV - LAS VEGAS WEST Lucky Sublot,ARROLIME,NV,89165,1300,1320,0,1200,0,michelle.mcclellan@copart.com,1,350
180,PASCO (WA) 99301,PASCO,WA,99301,0,1600,0,1600,0,chuck.penney@copart.com,1,825
182,PORTLAND NORTH (OR) 97218,PORTLAND,OR,97218,0,1350,0,0,0,carrie.preisinger@copart.com,1,650
183,SALT LAKE CITY (UT) 84044,7320 WEST,UT,84044,1600,1400,0,1200,0,brady.guay@copart.com,1,525
157,SAN DIEGO (CA) 92154,SAN DIEGO,CA,92154,1550,1550,0,1375,0,christopher.porter@copart.com,1,250
129,VALLEJO (CA) 94590,VALLEJO,CA,94590,1500,1550,0,1400,0,sione.latuhoi@copart.com,1,390
191,WALTON (KY) 41094,WALTON,KY,41094,0,490,0,0,0,holly.sawyers@copart.com,1,0
192,WHEELING (IL) 60090,WHEELING,IL,60090,0,550,0,0,0,keaston.bonnell@copart.com,1,0
193,WICHITA (KS) 67216,WICHITA,KS,67216,0,750,0,0,0,ryan.barill@copart.com,1,0
194,Windham,Windham,ME,4062,750,455,0,1300,0,sean.kenney@copart.com,1,0
195,"MOCKSVILLE, NC 27028",MOCKSVILLE,NC,27028,350,450,0,425,0,seth.arey@copart.com,1,0
197,NORTH BOSTON 01862,NORTH BILLERICA,MA,1862,0,380,0,0,0,patrick.serra@copart.com,1,0
199,Clewiston Sublot,CLEWISTON,FL,33440,325,0,0,270,0,julio.feliz@copart.com,1,0
201,GA - Augusta,Augusta,GA,30906,235,0,0,410,0,gm.yard359@copart.com,1,0
202,MILWAUKEE SOUTH,Franklin,Wisconsin,53132,0,725,0,0,0,jeff.jordan@copart.com,1,0
204,AL - Mobile South,Theodore,AL,36582,480,0,0,550,0,gm.yard184@copart.com,1,0
206,INDIANAPOLIS 46254,INDIANAPOLIS,IN,46254,0,500,0,0,0,patrick.harrison@copart.com,1,0
207,LOUISVILLE 40272,LOUISVILLE,KY,40272,500,500,0,0,0,colleen.huff@copart.com,1,0
208,"Wayland, 49348",Wayland,MI,49348,0,550,0,0,0,"",1,0
209,WASHINGTON DC DC,WASHINGTON DC DC,DC,20602,475,375,0,575,0,"",1,0
210,WEST MIFFLIN PA,PITTSBURGH SOUTH,PA,15122,0,450,0,0,0,"",1,0
211,(LEBANON  - TN),LEBANON,TN,0,430,600,0,500,0,colin.brand@copart.com,1,0
214,PITTSBURGH NORTH (PA) 16117 (ELLWOOD CITY PA),ELLWOOD CITY,PA,16117,0,450,0,0,0,terri.dambra@copart.com,1,0
216,ATLANTA WEST 30168 (AUSTELL GA),AUSTELL,GA,30168,325,0,0,380,0,renato.parris@copart.com,1,0
217,MIAMI SOUTH 33032 (HOMESTEAD FL),HOMESTEAD,FL,33032,325,800,0,135,0,michael.santos@copart.com,1,0
218,HARTFORD 06051(NEW BRITAIN CT),NEW BRITAIN,CT,6051,800,290,0,0,0,jim.costello@copart.com,1,0
219,"Gastonia, 28052",Gastonia,NC,28052,350,0,0,0,0,"",1,0
220,NEWBURGH/Marlbo ro 12542 (MARLBORO NY),MARLBORO,NY,12542,0,285,0,0,0,mike.cassata@copart.com,1,0
222,FLINT 48423 (DAVISON MI),DAVISON,MI,48423,800,550,0,0,0,jonathan.kingen@copart.com,1,0
224,"BUFFALO, NY 14006",BUFFALO,NY,14006,0,525,0,0,0,tim.bennett@copart.com,1,0
225,"BUFFALO, NY 14006 (ANGOLA NY)",ANGOLA,NY,14006,0,525,0,0,0,tim.bennett@copart.com,1,0
226,LEXINGTON WEST 40342 (LAWRENCEBURG KY),LAWRENCEBURG,KY,40342,535,500,0,0,0,joyce.middleton@copart.com,1,0
227,PUNTA GORDA SOUTH (FL) 33982,PUNTA GORDA SOUTH,FL,33982,350,0,0,270,0,"",1,0
228,Tampa North (FL) 34667,Tampa North,FL,34667,325,0,0,260,0,mgr-Tampa_North@iaai.com,1,0
229,"AKRON (OH), 44203",Barberton,OH,44203,0,450,0,0,0,"",1,0
230,"Akron (OH), 44203",Barberton,OH,44203,0,450,0,0,0,"",1,0
231,FREETOWN (MA),FREETOWN,MA,2702,0,375,0,0,0,thure.wester@copart.com,1,0
232,"TRENTON Yard 026 SUBLOT, 18073",PENNSBURG,PA,18073,0,285,0,0,0,"",1,0
233,CHALFONT (PA),CHALFONT,PA,18914,0,275,0,0,0,"",1,0
234,FRANKLIN (WI),FRANKLIN,WI,53110,0,725,0,0,0,"",1,0
235,"TAYLR Sublot, 76574",TAYLOR,TX,76574,0,0,0,675,0,"",1,0
236,TEMPLE TX,TEMPLE,TX,76574,0,0,0,675,0,"",1,0
237,MILWAUKEE NORTH (WI),MILWAUKEE NORTH,WI,53224,0,725,0,0,0,"",1,0
239,MINNEAPOLIS NORTH (MN),MINNEAPOLIS NORTH,MN,55434,0,770,0,0,0,"",1,0
240,Omaha South,Greenwood,NE,68366,775,725,0,0,0,mgr-OmahaSouth@iaai.com,1,0
242,"WACO, TX",WACO,TX,76574,0,775,0,675,0,"",1,0
243,LINCOLN (NE),LINCOLN,NE,68366,1000,700,775,0,665,"",1,0
244,ATLANTA NORTH 30507 (GAINESVILLE GA),GAINESVILLE,GA,30507,325,0,0,380,0,eric.smart@copart.com,1,0
245,SHA LIU,GASTON,SC,29053,265,575,0,575,0,terra.russell@copart.com,1,0
246,DUNN (NC),RALEIGH,NC,28334,315,430,0,0,0,"",1,0
247,OKEECHOBEE 34972,OKEECHOBEE,FL,34972,425,0,0,250,0,"",1,0
248,RALEIGH NORTH 27545,RALEIGH,NC,27545,325,450,0,0,0,"",1,0
250,GASTON SC,COLUMBIA,SC,29053,350,550,0,0,0,"",1,0
251,TAMPA SOUTH (FL) 33578 (RIVERVIEW FL),RIVERVIEW,FL,33578,400,750,0,270,0,james.holtmann@copart.com,1,0
252,WALDORF MD,WASHINGTON DC,MD,20602,475,375,0,575,0,"",1,0
253,DALLAS SOUTH 75172 (WILMER TX),WILMER,TX,75172,750,0,0,550,0,george.bailey@copart.com,1,0
254,WINDSOR NJ,TRENTON,NJ,8028,0,250,0,0,0,"",1,0
255,"NORTH AUSTIN, 76574",Taylor,TX,76574,800,0,0,625,0,filadelfo.ramirez@copart.com,1,0
198,HAYWARD - DESERT VIEW,HAYWARD,CA,94545,0,1600,0,1520,0,allie.palmer@copart.com,1,395
238,"Las Vegas West, 89032",Las Vegas,NV,89032,1300,1320,0,1200,0,"",1,350
213,LONG BEACH (CA) 90744 (WILMINGTON CA),WILMINGTON,CA,90744,1500,1600,0,1300,0,robert.zepeda@copart.com,1,160
196,LONG BEACH (CA) 90744,WILMINGTON,CA,90744,1500,1600,0,1300,0,robert.zepeda@copart.com,1,160
200,MENTONE (CA) 92359,MENTONE,CA,92359,1400,0,0,1350,0,elizabeth.carrillo@copart.com,1,250
256,NAPA CA,NAPA,CA,94503,1700,0,0,1400,0,"",1,510
221,NORTH SEATTLE 98223 (ARLINGTON WA),ARLINGTON,WA,98223,2000,1600,0,1550,0,harold.reynolds@copart.com,1,850
203,AZ - Phoenix North,Phoenix,AZ,85085,1100,0,0,1000,0,nick.napier@copart.com,1,400
249,RANCHO CUCAMONGA (CA) 91739,RANCHO CUCAMONGA,CA,91739,1375,1450,0,1300,0,jesus.vaca@copart.com,1,225
212,SAN JOSE (CA) 95046 (SAN MARTIN),SAN MARTIN,CA,0,0,1550,0,1550,0,mary.volz@copart.com,1,395
257,"TRENTON YORK HAVEN, 17370",YORK HAVEN,PA,17370,0,275,0,0,0,"",1,0
258,Bismarck 58504,Bismarck,ND,58504,1100,1100,0,0,0,"",1,0
259,GRAND PRAIRIE TX,DALLAS,TX,75051,750,0,0,525,0,"",1,0
260,PHILADELPHIA EAST SUBLOT PA,Chalfont,PA,18914,700,275,0,0,0,krista.nicholson@copart.com,1,0
261,Abilene 79601,Hawley,TX,79525,0,0,370,800,0,"",2,0
264,Albany 12303,Schenectady,NY,12303,0,340,0,0,0,"",2,0
266,Altoona 16637,East Freedom,PA,16637,800,435,1300,0,600,"",2,0
268,Anchorage (AK),Wasilla,AK,99654,3500,3500,3500,3500,3500,"",2,0
269,Appleton 54914,Appleton,WI,54914,0,750,0,0,475,"",2,0
270,Asheville (NC) 28732,Fletcher,NC,28732,380,525,0,0,0,"",2,0
271,Ashland 41102,Ashland,KY,41102,550,550,0,0,0,"",2,0
